,samples,subtypes,novel,sklearn
0,GSM1875162,0,0,3
1,GSM1875163,0,2,1
2,GSM1875164,0,1,1
3,GSM1875165,0,1,1
4,GSM1875166,1,1,2
5,GSM1875167,1,1,1
6,GSM1875168,0,1,1
7,GSM1875169,1,1,1
8,GSM1875170,0,2,1
9,GSM1875171,1,1,2
10,GSM1875172,0,1,1
11,GSM1875173,3,0,3
12,GSM1875174,0,0,2
13,GSM1875175,0,0,2
14,GSM1875176,0,1,3
15,GSM1875177,0,1,1
16,GSM1875178,0,0,2
17,GSM1875179,0,2,3
18,GSM1875180,0,1,1
19,GSM1875181,0,2,1
20,GSM1875182,0,2,3
21,GSM1875183,0,1,1
22,GSM1875184,0,0,2
23,GSM1875185,2,3,0
24,GSM1875186,3,0,2
25,GSM1875187,0,2,1
26,GSM1875188,0,2,1
27,GSM1875189,2,3,0
28,GSM1875190,0,0,3
29,GSM1875191,0,2,3
30,GSM1875192,1,1,1
31,GSM1875193,0,2,3
32,GSM1875194,0,0,3
33,GSM1875195,1,1,2
34,GSM1875196,2,3,0
35,GSM1875197,0,2,1
36,GSM1875198,0,0,3
37,GSM1875199,2,3,0
38,GSM1875200,0,2,3
39,GSM1875201,3,0,3
40,GSM1875202,0,2,1
41,GSM1875203,0,0,2
42,GSM1875204,1,1,1
43,GSM1875205,0,1,1
44,GSM1875206,0,1,1
45,GSM1875207,1,0,2
46,GSM1875208,0,0,3
47,GSM1875209,0,0,3
48,GSM1875210,0,0,3
49,GSM1875211,0,0,3
50,GSM1875212,0,2,1
51,GSM1875213,0,0,1
52,GSM1875214,0,0,3
53,GSM1875215,0,0,3
54,GSM1875216,0,0,3
55,GSM1875217,0,1,1
56,GSM1875218,0,2,1
57,GSM1875219,0,2,1
58,GSM1875220,0,2,3
59,GSM1875221,0,0,2
60,GSM1875222,1,0,3
61,GSM1875223,1,3,1
62,GSM1875224,1,1,1
63,GSM1875225,0,2,3
64,GSM1875226,3,0,2
65,GSM1875227,0,2,3
66,GSM1875228,0,1,1
67,GSM1875229,1,0,2
68,GSM1875230,0,0,3
69,GSM1875231,0,1,1
70,GSM1875232,0,2,1
71,GSM1875233,3,0,3
72,GSM1875234,0,0,3
73,GSM1875235,0,2,3
74,GSM1875236,0,0,3
75,GSM1875237,0,2,3
76,GSM1875238,1,1,1
77,GSM1875239,0,0,3
78,GSM1875240,0,2,1
79,GSM1875241,0,0,2
80,GSM1875242,1,1,1
81,GSM1875243,0,0,2
82,GSM1875244,1,1,1
83,GSM1875245,0,0,3
84,GSM1875246,3,0,3
85,GSM1875247,0,2,1
86,GSM1875248,1,1,2
87,GSM1875249,1,1,1
88,GSM1875250,0,2,3
89,GSM1875251,1,1,1
90,GSM1875252,0,2,1
91,GSM1875253,0,0,2
92,GSM1875254,0,0,2
93,GSM1875255,0,0,3
94,GSM1875256,1,1,1
95,GSM1875257,0,1,1
96,GSM1875258,0,0,3
97,GSM1875259,0,0,3
98,GSM1875260,0,0,3
99,GSM1875261,0,1,1
100,GSM1875262,0,0,2
101,GSM1875263,0,1,3
102,GSM1875264,3,3,0
103,GSM1875265,2,0,2
104,GSM1875266,0,0,2
105,GSM1875267,0,2,3
106,GSM1875268,2,0,1
107,GSM1875269,3,2,3
108,GSM1875270,2,3,0
109,GSM1875271,1,1,2
110,GSM1875272,0,2,1
111,GSM1875273,0,1,1
